County,Measure Names,Measure Values,Total
Wright,Unsheltered Total,0,0
Worth,Unsheltered Total,0,0
Wayne,Unsheltered Total,2,2
Washington,Unsheltered Total,0,0
Vernon,Unsheltered Total,13,32
Texas,Unsheltered Total,5,7
Taney,Unsheltered Total,12,58
Sullivan,Unsheltered Total,1,1
Stone,Unsheltered Total,0,20
Stoddard,Unsheltered Total,0,0
Ste. Genevieve,Unsheltered Total,0,0
St. Francois,Unsheltered Total,1,11
St. Clair,Unsheltered Total,0,0
Shelby,Unsheltered Total,6,6
Shannon,Unsheltered Total,9,9
Scott,Unsheltered Total,25,45
Scotland,Unsheltered Total,0,0
Schuyler,Unsheltered Total,0,0
Saline,Unsheltered Total,0,9
Ripley,Unsheltered Total,3,10
Reynolds,Unsheltered Total,3,4
Ray,Unsheltered Total,0,0
Randolph,Unsheltered Total,0,16
Ralls,Unsheltered Total,0,0
Putnam,Unsheltered Total,0,0
Pulaski,Unsheltered Total,0,1
Polk,Unsheltered Total,0,10
Platte,Unsheltered Total,15,36
Pike,Unsheltered Total,0,0
Phelps,Unsheltered Total,10,56
Pettis,Unsheltered Total,7,23
Perry,Unsheltered Total,0,19
Pemiscot,Unsheltered Total,6,6
Ozark,Unsheltered Total,0,0
Osage,Unsheltered Total,0,0
Oregon,Unsheltered Total,0,0
Nodaway,Unsheltered Total,3,4
New Madrid,Unsheltered Total,13,13
Morgan,Unsheltered Total,2,2
Montgomery,Unsheltered Total,2,2
Monroe,Unsheltered Total,0,0
Moniteau,Unsheltered Total,0,0
Mississippi,Unsheltered Total,6,10
Miller,Unsheltered Total,0,0
Mercer,Unsheltered Total,0,0
McDonald,Unsheltered Total,0,0
Marion,Unsheltered Total,3,14
Maries,Unsheltered Total,0,0
Madison,Unsheltered Total,0,0
Macon,Unsheltered Total,0,0
Livingston,Unsheltered Total,5,18
Linn,Unsheltered Total,0,0
Lewis,Unsheltered Total,0,0
Lawrence,Unsheltered Total,0,0
Lafayette,Unsheltered Total,3,16
Laclede,Unsheltered Total,0,5
Knox,Unsheltered Total,0,0
Johnson,Unsheltered Total,4,20
Jefferson,Unsheltered Total,0,10
Iron,Unsheltered Total,0,0
Howell,Unsheltered Total,23,54
Howard,Unsheltered Total,0,0
Holt,Unsheltered Total,0,0
Hickory,Unsheltered Total,0,0
Henry,Unsheltered Total,0,0
Harrison,Unsheltered Total,0,0
Grundy,Unsheltered Total,1,2
Gentry,Unsheltered Total,0,0
Gasconade,Unsheltered Total,0,0
Franklin,Unsheltered Total,1,1
Dunklin,Unsheltered Total,13,49
Douglas,Unsheltered Total,0,0
Dent,Unsheltered Total,2,2
Daviess,Unsheltered Total,0,0
Dallas,Unsheltered Total,0,0
Dade,Unsheltered Total,9,9
Crawford,Unsheltered Total,0,0
Cooper,Unsheltered Total,0,51
Cole,Unsheltered Total,8,64
Clinton,Unsheltered Total,0,6
Clay,Unsheltered Total,45,139
Clark,Unsheltered Total,0,0
Chariton,Unsheltered Total,0,0
Cedar,Unsheltered Total,8,8
Cass,Unsheltered Total,11,24
Carter,Unsheltered Total,0,0
Carroll,Unsheltered Total,0,0
Cape Girardeau,Unsheltered Total,27,40
Camden,Unsheltered Total,1,25
Callaway,Unsheltered Total,0,22
Caldwell,Unsheltered Total,0,0
Butler,Unsheltered Total,2,67
Boone,Unsheltered Total,43,268
Bollinger,Unsheltered Total,0,0
Benton,Unsheltered Total,0,5
Bates,Unsheltered Total,0,0
Barton,Unsheltered Total,1,1
Barry,Unsheltered Total,0,0
Audrain,Unsheltered Total,0,25
Atchison,Unsheltered Total,0,0
Adair,Unsheltered Total,5,5
