"StateFIPS","State","Year","Value","Data Comment",
"02","Alaska","2003","1","",
"02","Alaska","2004","2","",
"02","Alaska","2006","2","",
"02","Alaska","2010","1","",
"02","Alaska","2011","18","",
"04","Arizona","2005","324","",
"04","Arizona","2006","336","",
"04","Arizona","2007","312","",
"04","Arizona","2008","297","",
"04","Arizona","2009","378","",
"04","Arizona","2010","453","",
"04","Arizona","2011","492","",
"04","Arizona","2012","464","",
"04","Arizona","2013","462","",
"04","Arizona","2014","407","",
"04","Arizona","2015","488","",
"04","Arizona","2016","527","",
"04","Arizona","2017","653","",
"04","Arizona","2018","664","",
"04","Arizona","2019","638","",
"04","Arizona","2020","802","",
"04","Arizona","2021","805","",
"06","California","2000","625","",
"06","California","2001","356","",
"06","California","2002","400","",
"06","California","2003","518","",
"06","California","2004","355","",
"06","California","2005","495","",
"06","California","2006","1,100","",
"06","California","2007","571","",
"06","California","2008","571","",
"06","California","2009","516","",
"06","California","2010","503","",
"06","California","2011","416","",
"06","California","2012","578","",
"06","California","2013","570","",
"06","California","2014","587","",
"06","California","2015","598","",
"06","California","2016","756","",
"06","California","2017","1,303","",
"06","California","2018","1,127","",
"06","California","2019","796","",
"08","Colorado","2004","28","",
"08","Colorado","2005","49","",
"08","Colorado","2006","28","",
"08","Colorado","2007","26","",
"08","Colorado","2008","21","",
"08","Colorado","2009","14","",
"08","Colorado","2010","37","",
"08","Colorado","2011","43","",
"08","Colorado","2012","43","",
"08","Colorado","2013","42","",
"08","Colorado","2014","15","",
"08","Colorado","2015","44","",
"08","Colorado","2016","41","",
"08","Colorado","2017","35","",
"08","Colorado","2018","47","",
"08","Colorado","2019","47","",
"08","Colorado","2020","42","",
"09","Connecticut","2000","14","",
"09","Connecticut","2001","43","",
"09","Connecticut","2002","47","",
"09","Connecticut","2003","32","",
"09","Connecticut","2004","18","",
"09","Connecticut","2005","46","",
"09","Connecticut","2006","54","",
"09","Connecticut","2007","41","",
"09","Connecticut","2008","46","",
"09","Connecticut","2009","23","",
"09","Connecticut","2010","86","",
"09","Connecticut","2011","43","",
"09","Connecticut","2012","58","",
"09","Connecticut","2013","68","",
"09","Connecticut","2014","26","",
"09","Connecticut","2015","32","",
"09","Connecticut","2016","45","",
"09","Connecticut","2017","45","",
"09","Connecticut","2018","57","",
"09","Connecticut","2019","45","",
"09","Connecticut","2020","41","",
"09","Connecticut","2021","62","",
"12","Florida","2000","278","",
"12","Florida","2001","354","",
"12","Florida","2002","376","",
"12","Florida","2003","365","",
"12","Florida","2004","455","",
"12","Florida","2005","623","",
"12","Florida","2006","500","",
"12","Florida","2007","580","",
"12","Florida","2008","445","",
"12","Florida","2009","607","",
"12","Florida","2010","856","",
"12","Florida","2011","737","",
"12","Florida","2012","589","",
"12","Florida","2013","537","",
"12","Florida","2014","734","",
"12","Florida","2015","831","",
"12","Florida","2016","1,112","",
"12","Florida","2017","1,085","",
"12","Florida","2018","999","",
"12","Florida","2019","1,204","",
"12","Florida","2020","953","",
"12","Florida","2021","705","",
"19","Iowa","2000","47","",
"19","Iowa","2001","95","",
"19","Iowa","2002","51","",
"19","Iowa","2003","48","",
"19","Iowa","2004","19","",
"19","Iowa","2005","59","",
"19","Iowa","2006","71","",
"19","Iowa","2007","60","",
"19","Iowa","2008","31","",
"19","Iowa","2009","31","",
"19","Iowa","2010","56","",
"19","Iowa","2011","103","",
"19","Iowa","2012","102","",
"19","Iowa","2013","57","",
"19","Iowa","2014","12","",
"19","Iowa","2015","31","",
"19","Iowa","2016","52","",
"19","Iowa","2017","14","",
"19","Iowa","2018","12","",
"19","Iowa","2019","54","",
"19","Iowa","2020","44","",
"19","Iowa","2021","11","",
"20","Kansas","2000","139","",
"20","Kansas","2001","154","",
"20","Kansas","2002","86","",
"20","Kansas","2003","104","",
"20","Kansas","2004","57","",
"20","Kansas","2005","106","",
"20","Kansas","2006","141","",
"20","Kansas","2007","82","",
"20","Kansas","2008","76","",
"20","Kansas","2009","103","",
"20","Kansas","2010","124","",
"20","Kansas","2011","180","",
"20","Kansas","2012","122","",
"20","Kansas","2013","103","",
"20","Kansas","2014","64","",
"20","Kansas","2015","80","",
"20","Kansas","2016","113","",
"20","Kansas","2017","104","",
"20","Kansas","2018","127","",
"20","Kansas","2019","125","",
"20","Kansas","2020","95","",
"21","Kentucky","2000","76","",
"21","Kentucky","2001","126","",
"21","Kentucky","2002","124","",
"21","Kentucky","2003","94","",
"21","Kentucky","2004","78","",
"21","Kentucky","2005","124","",
"21","Kentucky","2006","128","",
"21","Kentucky","2007","173","",
"21","Kentucky","2008","98","",
"21","Kentucky","2009","109","",
"21","Kentucky","2010","231","",
"21","Kentucky","2011","286","",
"21","Kentucky","2012","208","",
"21","Kentucky","2013","126","",
"21","Kentucky","2014","96","",
"21","Kentucky","2015","131","",
"21","Kentucky","2016","180","",
"21","Kentucky","2017","113","",
"21","Kentucky","2018","181","",
"21","Kentucky","2019","150","",
"21","Kentucky","2020","123","",
"22","Louisiana","2000","135","",
"22","Louisiana","2001","119","",
"22","Louisiana","2002","141","",
"22","Louisiana","2003","95","",
"22","Louisiana","2004","136","",
"22","Louisiana","2005","222","",
