"StateFIPS","State","Year","Value","Data Comment",
"02","Alaska","2003","0.2","Unstable",
"02","Alaska","2004","0.3","Unstable",
"02","Alaska","2006","0.4","Unstable",
"02","Alaska","2010","0.1","Unstable",
"02","Alaska","2011","2.6","",
"04","Arizona","2005","5.6","",
"04","Arizona","2006","5.6","",
"04","Arizona","2007","5.0","",
"04","Arizona","2008","4.7","",
"04","Arizona","2009","5.9","",
"04","Arizona","2010","6.9","",
"04","Arizona","2011","7.4","",
"04","Arizona","2012","6.9","",
"04","Arizona","2013","6.8","",
"04","Arizona","2014","5.8","",
"04","Arizona","2015","6.8","",
"04","Arizona","2016","7.0","",
"04","Arizona","2017","8.6","",
"04","Arizona","2018","8.6","",
"04","Arizona","2019","8.0","",
"04","Arizona","2020","10.2","",
"04","Arizona","2021","9.9","",
"06","California","2000","2.1","",
"06","California","2001","1.1","",
"06","California","2002","1.2","",
"06","California","2003","1.6","",
"06","California","2004","1.1","",
"06","California","2005","1.5","",
"06","California","2006","3.2","",
"06","California","2007","1.6","",
"06","California","2008","1.6","",
"06","California","2009","1.4","",
"06","California","2010","1.4","",
"06","California","2011","1.1","",
"06","California","2012","1.5","",
"06","California","2013","1.4","",
"06","California","2014","1.5","",
"06","California","2015","1.5","",
"06","California","2016","1.8","",
"06","California","2017","3.0","",
"06","California","2018","2.6","",
"06","California","2019","1.9","",
"08","Colorado","2004","0.7","",
"08","Colorado","2005","1.1","",
"08","Colorado","2006","0.6","",
"08","Colorado","2007","0.6","",
"08","Colorado","2008","0.5","",
"08","Colorado","2009","0.3","",
"08","Colorado","2010","0.8","",
"08","Colorado","2011","0.9","",
"08","Colorado","2012","0.8","",
"08","Colorado","2013","0.8","",
"08","Colorado","2014","0.3","",
"08","Colorado","2015","0.8","",
"08","Colorado","2016","0.7","",
"08","Colorado","2017","0.6","",
"08","Colorado","2018","0.8","",
"08","Colorado","2019","0.7","",
"08","Colorado","2020","0.7","",
"09","Connecticut","2000","0.4","",
"09","Connecticut","2001","1.2","",
"09","Connecticut","2002","1.2","",
"09","Connecticut","2003","0.8","",
"09","Connecticut","2004","0.5","",
"09","Connecticut","2005","1.2","",
"09","Connecticut","2006","1.4","",
"09","Connecticut","2007","1.1","",
"09","Connecticut","2008","1.2","",
"09","Connecticut","2009","0.5","",
"09","Connecticut","2010","2.2","",
"09","Connecticut","2011","1.1","",
"09","Connecticut","2012","1.5","",
"09","Connecticut","2013","1.6","",
"09","Connecticut","2014","0.7","",
"09","Connecticut","2015","0.9","",
"09","Connecticut","2016","1.1","",
"09","Connecticut","2017","1.0","",
"09","Connecticut","2018","1.5","",
"09","Connecticut","2019","1.1","",
"09","Connecticut","2020","0.9","",
"09","Connecticut","2021","1.5","",
"12","Florida","2000","1.6","",
"12","Florida","2001","2.0","",
"12","Florida","2002","2.1","",
"12","Florida","2003","2.0","",
"12","Florida","2004","2.4","",
"12","Florida","2005","3.3","",
"12","Florida","2006","2.6","",
"12","Florida","2007","2.9","",
"12","Florida","2008","2.2","",
"12","Florida","2009","2.9","",
"12","Florida","2010","4.2","",
"12","Florida","2011","3.5","",
"12","Florida","2012","2.8","",
"12","Florida","2013","2.5","",
"12","Florida","2014","3.4","",
"12","Florida","2015","3.8","",
"12","Florida","2016","5.1","",
"12","Florida","2017","4.7","",
"12","Florida","2018","4.3","",
"12","Florida","2019","5.2","",
"12","Florida","2020","4.0","",
"12","Florida","2021","2.9","",
"19","Iowa","2000","1.5","",
"19","Iowa","2001","2.9","",
"19","Iowa","2002","1.6","",
"19","Iowa","2003","1.5","",
"19","Iowa","2004","0.6","",
"19","Iowa","2005","1.7","",
"19","Iowa","2006","2.0","",
"19","Iowa","2007","1.8","",
"19","Iowa","2008","0.9","",
"19","Iowa","2009","1.0","",
"19","Iowa","2010","1.6","",
"19","Iowa","2011","3.1","",
"19","Iowa","2012","3.1","",
"19","Iowa","2013","1.6","",
"19","Iowa","2014","0.4","",
"19","Iowa","2015","1.0","",
"19","Iowa","2016","1.5","",
"19","Iowa","2017","0.4","",
"19","Iowa","2018","0.4","Unstable",
"19","Iowa","2019","1.5","",
"19","Iowa","2020","1.4","",
"19","Iowa","2021","0.3","Unstable",
"20","Kansas","2000","4.9","",
"20","Kansas","2001","5.4","",
"20","Kansas","2002","3.0","",
"20","Kansas","2003","3.7","",
"20","Kansas","2004","2.0","",
"20","Kansas","2005","3.8","",
"20","Kansas","2006","5.0","",
"20","Kansas","2007","2.7","",
"20","Kansas","2008","2.6","",
"20","Kansas","2009","3.6","",
"20","Kansas","2010","4.2","",
"20","Kansas","2011","5.9","",
"20","Kansas","2012","4.0","",
"20","Kansas","2013","3.3","",
"20","Kansas","2014","2.1","",
"20","Kansas","2015","2.6","",
"20","Kansas","2016","3.7","",
"20","Kansas","2017","3.3","",
"20","Kansas","2018","4.1","",
"20","Kansas","2019","4.0","",
"20","Kansas","2020","3.1","",
"21","Kentucky","2000","1.9","",
"21","Kentucky","2001","3.1","",
"21","Kentucky","2002","3.0","",
"21","Kentucky","2003","2.2","",
"21","Kentucky","2004","1.9","",
"21","Kentucky","2005","2.9","",
"21","Kentucky","2006","2.9","",
"21","Kentucky","2007","4.0","",
"21","Kentucky","2008","2.2","",
"21","Kentucky","2009","2.4","",
"21","Kentucky","2010","5.0","",
"21","Kentucky","2011","6.3","",
"21","Kentucky","2012","4.4","",
"21","Kentucky","2013","2.8","",
"21","Kentucky","2014","2.1","",
"21","Kentucky","2015","2.8","",
"21","Kentucky","2016","3.8","",
"21","Kentucky","2017","2.3","",
"21","Kentucky","2018","3.9","",
"21","Kentucky","2019","3.0","",
"21","Kentucky","2020","2.5","",
"22","Louisiana","2000","3.2","",
"22","Louisiana","2001","2.7","",
"22","Louisiana","2002","3.2","",
"22","Louisiana","2003","2.1","",
"22","Louisiana","2004","3.1","",
"22","Louisiana","2005","4.9","",
"22","Louisiana","2006","3.5","",
"22","Louisiana","2007","3.1","",
"22","Louisiana","2008","2.5","",
"22","Louisiana","2009","3.7","",
"22","Louisiana","2010","4.3","",
"22","Louisiana","2011","6.3","",
"22","Louisiana","2012","4.5","",
"22","Louisiana","2013","3.7","",
"22","Louisiana","2014","4.1","",
"22","Louisiana","2015","5.1","",
"22","Louisiana","2016","5.2","",
"22","Louisiana","2017","2.9","",
"22","Louisiana","2018","4.5","",
"22","Louisiana","2019","6.0","",
